('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         819132 function calls (794845 primitive calls) in 3.462 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      295    1.757    0.006    1.757    0.006 {method 'read' of '_ssl._SSLSocket' objects}
      301    0.194    0.001    0.194    0.001 {method 'read' of '_io.BufferedReader' objects}
    26/24    0.091    0.004    0.097    0.004 {built-in method _imp.create_dynamic}
        1    0.082    0.082    0.082    0.082 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.074    0.074    0.074    0.074 {method 'connect' of '_socket.socket' objects}
        1    0.070    0.070    0.074    0.074 {built-in method _socket.getaddrinfo}
      218    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
 4591/238    0.042    0.000    0.123    0.001 _parser.py:511(_parse)
    25956    0.041    0.000    0.041    0.000 {method 'match' of 're.Pattern' objects}
     2803    0.036    0.000    0.206    0.000 parser.py:301(parse_starttag)
       10    0.033    0.003    0.034    0.003 parse.py:374(urlparse)
 5136/200    0.033    0.000    0.072    0.000 _compiler.py:37(_compile)
       26    0.030    0.001    0.030    0.001 {built-in method _imp.exec_dynamic}
        2    0.025    0.013    0.334    0.167 parser.py:134(goahead)
     1181    0.024    0.000    0.024    0.000 {built-in method posix.stat}
      301    0.022    0.000    0.022    0.000 {built-in method _io.open_code}
    83014    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
70092/63660    0.020    0.000    0.022    0.000 {built-in method builtins.len}
     2803    0.020    0.000    0.092    0.000 __init__.py:987(handle_starttag)
  699/693    0.018    0.000    0.132    0.000 {built-in method builtins.__build_class__}
    26387    0.017    0.000    0.023    0.000 _parser.py:167(__getitem__)
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     2803    0.016    0.000    0.024    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
61516/61478    0.015    0.000    0.015    0.000 {built-in method builtins.isinstance}
     2222    0.013    0.000    0.015    0.000 typing.py:1294(_is_dunder)
     2989    0.012    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       30    0.012    0.000    0.012    0.000 {built-in method posix.listdir}
     2803    0.012    0.000    0.110    0.000 _htmlparser.py:142(handle_starttag)
    244/1    0.012    0.000    3.463    3.463 {built-in method builtins.exec}
     5860    0.011    0.000    0.049    0.000 __init__.py:826(endData)
      701    0.011    0.000    0.016    0.000 _compiler.py:241(_optimize_charset)
