('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         806483 function calls (782032 primitive calls) in 8.841 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.002    5.002    5.002    5.002 {built-in method time.sleep}
      302    1.447    0.005    1.447    0.005 {method 'read' of '_ssl._SSLSocket' objects}
    24/21    1.066    0.044    1.067    0.051 {built-in method _imp.create_dynamic}
        1    0.252    0.252    0.252    0.252 {built-in method _socket.getaddrinfo}
        1    0.073    0.073    0.073    0.073 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.058    0.058    0.058    0.058 {method 'connect' of '_socket.socket' objects}
    25842    0.042    0.000    0.042    0.000 {method 'match' of 're.Pattern' objects}
     2803    0.039    0.000    0.241    0.000 parser.py:301(parse_starttag)
 4785/207    0.035    0.000    0.101    0.000 _parser.py:511(_parse)
      316    0.034    0.000    0.283    0.001 {method 'read' of '_io.BufferedReader' objects}
        2    0.028    0.014    0.383    0.192 parser.py:134(goahead)
      170    0.027    0.000    0.027    0.000 {built-in method marshal.loads}
 5563/199    0.025    0.000    0.063    0.000 _compiler.py:37(_compile)
     2803    0.020    0.000    0.129    0.000 _htmlparser.py:142(handle_starttag)
     2803    0.019    0.000    0.104    0.000 __init__.py:987(handle_starttag)
    87836    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
     2803    0.017    0.000    0.027    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      973    0.016    0.000    0.016    0.000 {built-in method posix.stat}
        1    0.016    0.016    0.016    0.016 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
  552/547    0.016    0.000    0.084    0.000 {built-in method builtins.__build_class__}
    29816    0.015    0.000    0.021    0.000 _parser.py:167(__getitem__)
        3    0.015    0.005    0.015    0.005 {built-in method _scproxy._get_proxy_settings}
59533/59525    0.015    0.000    0.015    0.000 {built-in method builtins.isinstance}
     5860    0.014    0.000    0.055    0.000 __init__.py:826(endData)
72895/66552    0.014    0.000    0.016    0.000 {built-in method builtins.len}
    14634    0.013    0.000    0.013    0.000 {method 'group' of 're.Match' objects}
     2802    0.013    0.000    0.020    0.000 __init__.py:950(_popToTag)
      257    0.012    0.000    0.012    0.000 {built-in method _io.open_code}
     2629    0.012    0.000    0.078    0.000 parser.py:379(parse_endtag)
     2804    0.011    0.000    0.044    0.000 element.py:1626(__init__)
     8422    0.009    0.000    0.009    0.000 {method 'search' of 're.Pattern' objects}
      914    0.009    0.000    0.015    0.000 _compiler.py:241(_optimize_charset)
     8356    0.009    0.000    0.009    0.000 element.py:376(setup)
     2805    0.009    0.000    0.058    0.000 _htmlparser.py:204(handle_endtag)
        1    0.009    0.009    0.070    0.070 dammit.py:128(_populate_class_variables)
 1293/199    0.009    0.000    0.102    0.001 _parser.py:451(_parse_sub)
      780    0.008    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
       39    0.008    0.000    0.008    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 5520/390    0.008    0.000    0.011    0.000 _parser.py:177(getwidth)
        2    0.008    0.004    0.008    0.004 {built-in method _scproxy._get_proxies}
     2776    0.008    0.000    0.014    0.000 element.py:1291(__new__)
        6    0.007    0.001    0.007    0.001 cookiejar.py:1389(_normalized_cookie_tuples)
    21009    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
3495/3466    0.007    0.000    0.008    0.000 {built-in method __new__ of type object at 0x106f9cf70}
     2804    0.007    0.000    0.008    0.000 __init__.py:809(pushTag)
    16904    0.007    0.000    0.011    0.000 _parser.py:260(get)
     2776    0.006    0.000    0.016    0.000 __init__.py:867(object_was_parsed)
    11141    0.006    0.000    0.010    0.000 _markupbase.py:44(updatepos)
6662/6639    0.006    0.000    0.015    0.000 typing.py:426(inner)
     2272    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
    25781    0.006    0.000    0.006    0.000 _parser.py:239(__next)
    15865    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
     2776    0.005    0.000    0.009    0.000 __init__.py:732(string_container)
      222    0.005    0.000    0.041    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2803    0.005    0.000    0.005    0.000 __init__.py:786(popTag)
      289    0.005    0.000    0.026    0.000 filter.py:129(filter)
     2802    0.004    0.000    0.049    0.000 __init__.py:1053(handle_endtag)
      494    0.004    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     2803    0.004    0.000    0.016    0.000 parser.py:345(check_for_whole_start_tag)
    15406    0.004    0.000    0.004    0.000 {method 'end' of 're.Match' objects}
    12842    0.004    0.000    0.006    0.000 _parser.py:163(__len__)
    13343    0.004    0.000    0.006    0.000 _parser.py:255(match)
     8236    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    13165    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
6872/6804    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
       24    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
     6158    0.004    0.000    0.018    0.000 filter.py:721(match)
        3    0.004    0.001    0.004    0.001 {method '__reduce_ex__' of 'object' objects}
       95    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
       62    0.003    0.000    0.004    0.000 parse.py:374(urlparse)
     2003    0.003    0.000    0.005    0.000 __init__.py:91(_replace_charref)
     2566    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
     3111    0.003    0.000    0.011    0.000 filter.py:538(matches_tag)
     1473    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
      321    0.003    0.000    0.186    0.001 __init__.py:330(_compile)
     7527    0.003    0.000    0.004    0.000 _parser.py:175(append)
        1    0.003    0.003    0.003    0.003 models.py:909(text)
      273    0.003    0.000    0.003    0.000 _compiler.py:389(_mk_bitmap)
    14594    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     2803    0.002    0.000    0.003    0.000 element.py:1820(is_empty_element)
      128    0.002    0.000    0.005    0.000 _compiler.py:470(_get_charset_prefix)
     6533    0.002    0.000    0.010    0.000 {built-in method builtins.next}
       22    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      170    0.002    0.000    0.088    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
       16    0.002    0.000    0.005    0.000 enum.py:1749(convert_class)
      265    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
     7392    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    225/5    0.002    0.000    1.516    0.303 <frozen importlib._bootstrap>:1349(_find_and_load)
     2669    0.002    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
      170    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     6204    0.002    0.000    0.015    0.000 __init__.py:122(unescape)
     1018    0.002    0.000    0.006    0.000 filter.py:616(_attribute_match)
     5710    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     6674    0.002    0.000    0.002    0.000 element.py:2771(descendants)
       63    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       18    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
       20    0.002    0.000    0.262    0.013 {method 'join' of 'bytes' objects}
