('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         806537 function calls (782076 primitive calls) in 3.383 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      301    1.527    0.005    1.527    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.501    0.501    0.501    0.501 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.218    0.218    0.218    0.218 {built-in method _socket.getaddrinfo}
      317    0.119    0.000    0.481    0.002 {method 'read' of '_io.BufferedReader' objects}
        1    0.074    0.074    0.074    0.074 {method 'connect' of '_socket.socket' objects}
    24/21    0.049    0.002    0.052    0.002 {built-in method _imp.create_dynamic}
 4785/207    0.040    0.000    0.116    0.001 _parser.py:511(_parse)
     2803    0.037    0.000    0.199    0.000 parser.py:301(parse_starttag)
    25842    0.035    0.000    0.035    0.000 {method 'match' of 're.Pattern' objects}
      170    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
 5563/199    0.027    0.000    0.068    0.000 _compiler.py:37(_compile)
        2    0.024    0.012    0.321    0.160 parser.py:134(goahead)
    87846    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
72916/66563    0.018    0.000    0.021    0.000 {built-in method builtins.len}
  552/547    0.018    0.000    0.104    0.000 {built-in method builtins.__build_class__}
      257    0.018    0.000    0.018    0.000 {built-in method _io.open_code}
      973    0.016    0.000    0.016    0.000 {built-in method posix.stat}
     2803    0.016    0.000    0.087    0.000 __init__.py:987(handle_starttag)
        1    0.016    0.016    0.016    0.016 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     2803    0.015    0.000    0.023    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
59543/59535    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
    29826    0.014    0.000    0.020    0.000 _parser.py:167(__getitem__)
     2629    0.012    0.000    0.064    0.000 parser.py:379(parse_endtag)
     2803    0.012    0.000    0.103    0.000 _htmlparser.py:142(handle_starttag)
       39    0.011    0.000    0.011    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      914    0.011    0.000    0.017    0.000 _compiler.py:241(_optimize_charset)
     5860    0.011    0.000    0.046    0.000 __init__.py:826(endData)
        1    0.011    0.011    0.078    0.078 dammit.py:128(_populate_class_variables)
     2804    0.010    0.000    0.038    0.000 element.py:1626(__init__)
    21009    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
 1293/199    0.009    0.000    0.117    0.001 _parser.py:451(_parse_sub)
 5520/390    0.009    0.000    0.012    0.000 _parser.py:177(getwidth)
    14634    0.009    0.000    0.009    0.000 {method 'group' of 're.Match' objects}
     8356    0.009    0.000    0.009    0.000 element.py:376(setup)
    25781    0.008    0.000    0.008    0.000 _parser.py:239(__next)
     8422    0.008    0.000    0.008    0.000 {method 'search' of 're.Pattern' objects}
3495/3466    0.007    0.000    0.008    0.000 {built-in method __new__ of type object at 0x103583f70}
    16904    0.007    0.000    0.012    0.000 _parser.py:260(get)
       24    0.007    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
     2805    0.007    0.000    0.047    0.000 _htmlparser.py:204(handle_endtag)
     2802    0.006    0.000    0.015    0.000 __init__.py:950(_popToTag)
    11141    0.006    0.000    0.010    0.000 _markupbase.py:44(updatepos)
        3    0.006    0.002    0.006    0.002 {built-in method _scproxy._get_proxy_settings}
     2776    0.006    0.000    0.012    0.000 element.py:1291(__new__)
     2804    0.006    0.000    0.007    0.000 __init__.py:809(pushTag)
    15865    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
      494    0.006    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
